DATE,SALES,AutoFinanzierung,BMWFinanzierung,AutoLeasing,BMWLeasing,leasing,BMW,AGPI,Gebrauchtwagenpreisindex,Euribor3M,Euribor6M,Euribor12M,Verbraucherpreisindex,IndexderEinzelhandelspreise,IndexderErzeugerpreisegewerblicherProdukte,IndexderGrowsshandelsverkaufspreise,IndexderEinfuhrpreise,IndexderAusfuhrpreise,BestandArbeitslose,ZugangArbeitslose,AbgangArbeitslose,Arbeitslosenquote,Beschäftigungsbarometer,VerarbeitendesGewerbe,Bauhauptgewerbe,Handel,Dienstleistungssektor,Geschäftsklima,Geschäftslage,Geschäftserwartungen,Konjunkturampel
1994-01-31,,,,,,,,,,6.91,6.67,6.34,,,,,,,,,,,,,,,,,,,
1994-02-28,,,,,,,,,,6.86,6.68,6.42,,,,,,,,,,,,,,,,,,,
1994-03-31,,,,,,,,,,6.75,6.65,6.55,,,,,,,,,,,,,,,,,,,
1994-04-30,,,,,,,,,,6.57,6.51,6.46,,,,,,,,,,,,,,,,,,,
1994-05-31,,,,,,,,,,6.24,6.21,6.25,,,,,,,,,,,,,,,,,,,
1994-06-30,,,,,,,,,,6.3,6.37,6.62,,,,,,,,,,,,,,,,,,,
1994-07-31,,,,,,,,,,6.34,6.5,6.77,,,,,,,,,,,,,,,,,,,
1994-08-31,,,,,,,,,,6.43,6.67,7.08,,,,,,,,,,,,,,,,,,,
1994-09-30,,,,,,,,,,6.38,6.73,7.31,,,,,,,,,,,,,,,,,,,
1994-10-31,,,,,,,,,,6.43,6.71,7.3,,,,,,,,,,,,,,,,,,,
1994-11-30,,,,,,,,,,6.4,6.65,7.19,,,,,,,,,,,,,,,,,,,
1994-12-31,,,,,,,,,,6.69,7.0,7.51,,,,,,,,,,,,,,,,,,,
1995-01-31,,,,,,,,,,6.66,7.06,7.66,,,,,,,,,,,,,,,,,,,
1995-02-28,,,,,,,,,,6.59,6.92,7.5,,,,,,,,,,,,,,,,,,,
1995-03-31,,,,,,,,,,7.58,7.74,8.02,,,,,,,,,,,,,,,,,,,
1995-04-30,,,,,,,,,,7.29,7.39,7.63,,,,,,,,,,,,,,,,,,,
1995-05-31,,,,,,,,,,7.04,7.09,7.25,,,,,,,,,,,,,,,,,,,
1995-06-30,,,,,,,,,,7.08,7.11,7.24,,,,,,,,,,,,,,,,,,,
1995-07-31,,,,,,,,,,6.92,6.99,7.16,,,,,,,,,,,,,,,,,,,
1995-08-31,,,,,,,,,,6.66,6.71,6.83,,,,,,,,,,,,,,,,,,,
1995-09-30,,,,,,,,,,6.5,6.54,6.59,,,,,,,,,,,,,,,,,,,
1995-10-31,,,,,,,,,,6.75,6.78,6.76,,,,,,,,,,,,,,,,,,,
1995-11-30,,,,,,,,,,6.45,6.43,6.43,,,,,,,,,,,,,,,,,,,
1995-12-31,,,,,,,,,,6.32,6.26,6.21,,,,,,,,,,,,,,,,,,,
1996-01-31,,,,,,,,,,5.81,5.73,5.69,,,,,,,,,,,,,,,,,,,
1996-02-29,,,,,,,,,,5.58,5.54,5.56,,,,,,,,,,,,,,,,,,,
1996-03-31,,,,,,,,,,5.5,5.49,5.55,,,,,,,,,,,,,,,,,,,
1996-04-30,,,,,,,,,,5.27,5.26,5.32,,,,,,,,,,,,,,,,,,,
1996-05-31,,,,,,,,,,5.06,5.03,5.07,,,,,,,,,,,,,,,,,,,
1996-06-30,,,,,,,,,,5.08,5.08,5.19,,,,,,,,,,,,,,,,,,,
1996-07-31,,,,,,,,,,5.06,5.07,5.18,,,,,,,,,,,,,,,,,,,
1996-08-31,,,,,,,,,,5.08,5.1,5.16,,,,,,,,,,,,,,,,,,,
1996-09-30,,,,,,,,,,4.86,4.88,4.96,,,,,,,,,,,,,,,,,,,
1996-10-31,,,,,,,,,,4.69,4.66,4.67,,,,,,,,,,,,,,,,,,,
1996-11-30,,,,,,,,,,4.57,4.53,4.54,,,,,,,,,,,,,,,,,,,
1996-12-31,,,,,,,,,,4.5,4.42,4.39,,,,,,,,,,,,,,,,,,,
1997-01-31,,,,,,,,,,4.39,4.31,4.25,,,,,,,,,,,,,,,,,,,
1997-02-28,,,,,,,,,,4.43,4.36,4.32,,,,,,,,,,,,,,,,,,,
1997-03-31,,,,,,,,,,4.5,4.5,4.55,,,,,,,,,,,,,,,,,,,
1997-04-30,,,,,,,,,,4.39,4.41,4.47,,,,,,,,,,,,,,,,,,,
1997-05-31,,,,,,,,,,4.3,4.32,4.36,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,,4.29,4.3,4.33,,,,,,,,,,,,,,,,,,,
1997-07-31,,,,,,,,,,4.3,4.31,4.32,,,,,,,,,,,,,,,,,,,
1997-08-31,,,,,,,,,,4.36,4.42,4.49,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,,,,,4.31,4.35,4.42,,,,,,,,,,,,,,,,,,,
1997-10-31,,,,,,,,,,4.44,4.47,4.55,,,,,,,,,,,,,,,,,,,
1997-11-30,,,,,,,,,,4.49,4.51,4.56,,,,,,,,,,,,,,,,,,,
1997-12-31,,,,,,,,,,4.37,4.37,4.41,,,,,,,,,,,,,,,,,,,
1998-01-31,,,,,,,,,,4.26,4.23,4.22,,,,,,,,,,,,,,,,,,,
1998-02-28,,,,,,,,,,4.24,4.19,4.17,,,,,,,,,,,,,,,,,,,
1998-03-31,,,,,,,,,,4.11,4.04,4.05,,,,,,,,,,,,,,,,,,,
1998-04-30,,,,,,,,,,4.09,4.06,4.12,,,,,,,,,,,,,,,,,,,
